biome	sample	h	DateTime	Station	LatN	LonE	SizeFrx	Run	Date	RadiansDate	Vernality	Wintriness	Location	Freshwater	hc	ssu.cnt	ssu.cov
_beyster	ERR986581	4.82541021519997	2009-03-26 05:18 PM +0000	GS605	20.094784	-105.63443	0.1?m	ERR986581	2009-03-26	1.50098315671512	0.997564050259824	0.0697564737441255	North Pacific Ocean	FALSE	4.94444376921767	252	0.326797385620915
_beyster	ERR986582	4.65499112296436	2009-03-26 05:18 PM +0000	GS605	20.094784	-105.63443	0.8?m	ERR986582	2009-03-26	1.50098315671512	0.997564050259824	0.0697564737441255	North Pacific Ocean	FALSE	4.73378160139726	164	0.243697478991597
_beyster	ERR986583	3.31949257615475	2009-03-26 05:18 PM +0000	GS605	20.094784	-105.63443	3.0?m	ERR986583	2009-03-26	1.50098315671512	0.997564050259824	0.0697564737441255	North Pacific Ocean	FALSE	3.32856381842681	29	0.0357142857142857
_beyster	ERR986584	4.61007443165233	2009-03-26 05:18 PM +0000	GS606	20.094784	-105.63443	0.1?m	ERR986584	2009-03-26	1.50098315671512	0.997564050259824	0.0697564737441255	North Pacific Ocean	FALSE	4.77683853142002	256	0.313868613138686
_beyster	ERR986585	3.8552203998284	2009-03-26 05:18 PM +0000	GS606	20.094784	-105.63443	0.8?m	ERR986585	2009-03-26	1.50098315671512	0.997564050259824	0.0697564737441255	North Pacific Ocean	FALSE	4.1202475925963	136	0.227848101265823
_beyster	ERR986586	3.61230143155084	2009-03-26 05:18 PM +0000	GS606	20.094784	-105.63443	3.0?m	ERR986586	2009-03-26	1.50098315671512	0.997564050259824	0.0697564737441255	North Pacific Ocean	FALSE	3.66320743898162	51	0.225
_beyster	ERR986587	4.0606658889381	2009-04-03 05:46 PM +0000	GS618	7.1635003	-81.71476	0.1?m	ERR986587	2009-04-03	1.62315620435473	0.998629534754574	-0.0523359562429434	North Pacific Ocean	FALSE	4.13328689909949	90	0.261538461538461
_beyster	ERR986588	4.57333978491141	2009-04-03 05:46 PM +0000	GS618	7.1635003	-81.71476	0.8?m	ERR986588	2009-04-03	1.62315620435473	0.998629534754574	-0.0523359562429434	North Pacific Ocean	FALSE	4.66905985755006	155	0.221238938053097
_beyster	ERR986589	2.40364041061495	2009-04-03 05:46 PM +0000	GS618	7.1635003	-81.71476	0.8?m	ERR986589	2009-04-03	1.62315620435473	0.998629534754574	-0.0523359562429434	North Pacific Ocean	FALSE	2.45831132968308	14	0.0833333333333334
_beyster	ERR986590	2.40364041061495	2009-04-03 05:46 PM +0000	GS618	7.1635003	-81.71476	3.0?m	ERR986590	2009-04-03	1.62315620435473	0.998629534754574	-0.0523359562429434	North Pacific Ocean	FALSE	2.45831132968308	14	0.0833333333333334
